t,V1,V2,V3,V4,V5
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000048e-04,4.995004163750000475e-03,2.496669583333334197e-06,8.320833333333334843e-10,2.083333333333333460e-13,0.000000000000000000e+00
2.000000000000000096e-04,9.980033286719121668e-03,9.973379940057254089e-06,6.646700378502001397e-09,3.323348596743889923e-12,1.246878678298611522e-15
3.000000000000000279e-04,1.495511226416936998e-02,2.241023577078956019e-05,2.239901947372006714e-08,1.679521044574443902e-11,9.956974219447969127e-15
4.000000000000000192e-04,1.992026592178132438e-02,3.978741129793078948e-05,5.301447776910192972e-08,5.299455848189264871e-11,4.224956520439515354e-14
5.000000000000000104e-04,2.487551901586249406e-02,6.208515002771721825e-05,1.033889148587868058e-07,1.291730538167495578e-10,1.290352498943288459e-13
6.000000000000000559e-04,2.982089623355502206e-02,8.928376451309034544e-05,1.783887058694595329e-07,2.674241425520214818e-10,3.208601143697627849e-13
6.999999999999999929e-04,3.475642219304274361e-02,1.213636361173799723e-04,2.828508940073840978e-07,4.946440351564478167e-10,6.927059500117472051e-13
8.000000000000000383e-04,3.968212144375757311e-02,1.583052147787981500e-04,4.215833225660586461e-07,8.424929007244033670e-10,1.348746779535019364e-12
9.000000000000000838e-04,4.459801846658527358e-02,2.000890187757411358e-04,5.993647663965922795e-07,1.347356275105573723e-09,2.427061949511493580e-12
1.000000000000000021e-03,4.950413767407056687e-02,2.466956344928965456e-04,8.209450628428956513e-07,2.050306681899431082e-09,4.104306046056733942e-12
1.100000000000000066e-03,5.440050341062159511e-02,2.981057161881530597e-04,1.091045242143770943e-06,2.997065465312592622e-09,6.600335889091916131e-12
1.200000000000000112e-03,5.928713995271374382e-02,3.542999857603095653e-04,1.414357657303976611e-06,4.237964833881477530e-09,1.018279485933924398e-11
1.300000000000000157e-03,6.416407150909284041e-02,4.152592325175814857e-04,1.795546113436335989e-06,5.827910114066993399e-09,1.517165481095983921e-11
1.399999999999999986e-03,6.903132222097768667e-02,4.809643129469010439e-04,2.239245996576951064e-06,7.826342212732288204e-09,2.194371582149971994e-11
1.500000000000000031e-03,7.388891616226199444e-02,5.513961504840089387e-04,2.750064401975572817e-06,1.029720028751887570e-08,3.093706402957159395e-11
1.600000000000000077e-03,7.873687733971566904e-02,6.265357352843347249e-04,3.332580261863175219e-06,1.330888462414071845e-08,4.265548780946785514e-11
1.700000000000000122e-03,8.357522969318544048e-02,7.063641239946631852e-04,3.991344472698768063e-06,1.693421971962008904e-08,5.767285253067325460e-11
1.800000000000000168e-03,8.840399709579489784e-02,7.908624395255838208e-04,4.730880021897480686e-06,2.125041757049325570e-08,7.663743414902437934e-11
1.899999999999999996e-03,9.322320335414388537e-02,8.800118708247206979e-04,5.555682114041935054e-06,2.633904116501827551e-08,1.002762118750469748e-10
2.000000000000000042e-03,9.803287220850730177e-02,9.737936726507404788e-04,6.470218296578923928e-06,3.228596817842132795e-08,1.293991201637916580e-10
2.100000000000000304e-03,1.028330273330331918e-01,1.072189165348135225e-03,7.478928585003402866e-06,3.918135487022223337e-08,1.649032602692834416e-10
2.200000000000000133e-03,1.076236923359403380e-01,1.175179734622777694e-03,8.586225587531790807e-06,4.711960018268398901e-08,2.077770716055005522e-10
2.299999999999999961e-03,1.124048907597151176e-01,1.282746831318246636e-03,9.796494629266574007e-06,5.619931003943517932e-08,2.591044631546037918e-10
2.400000000000000223e-03,1.171766460813078586e-01,1.394871971192918839e-03,1.111409387585419031e-05,6.652326184331840337e-08,3.200689051619483097e-10
2.500000000000000052e-03,1.219389817123284481e-01,1.511536734697825754e-03,1.254335445663818258e-05,7.819836917252181616e-08,3.919574813562258957e-10
2.600000000000000314e-03,1.266919209992414530e-01,1.632722766755271985e-03,1.408858058730957030e-05,9.133564667405516538e-08,4.761649019319077710e-10
2.700000000000000143e-03,1.314354872235605765e-01,1.758411776538212727e-03,1.575404969205642394e-05,1.060501751536354840e-07,5.741974775299837717e-10
2.799999999999999972e-03,1.361697036020424467e-01,1.888585537250388408e-03,1.754401252521457598e-05,1.224610668610520325e-07,6.876770544518264355e-10
2.900000000000000234e-03,1.408945932868799489e-01,2.023225885907212196e-03,1.946269329242141481e-05,1.406914309700837235e-07,8.183449113398456936e-10
3.000000000000000062e-03,1.456101793658947929e-01,2.162314723117409951e-03,2.151428977127473201e-05,1.608683392520466646e-07,9.680656175574418172e-10
3.100000000000000325e-03,1.503164848627295824e-01,2.305834012865407619e-03,2.370297343149849813e-05,1.831227919420532630e-07,1.138830853499611486e-09
3.200000000000000153e-03,1.550135327370392169e-01,2.453765782294465864e-03,2.603288955461754232e-05,2.075896837970681243e-07,1.332763193064416104e-09
3.299999999999999982e-03,1.597013458846817668e-01,2.606092121490558456e-03,2.850815735314301966e-05,2.344077703448506211e-07,1.552119848514377588e-09
3.400000000000000244e-03,1.643799471379086830e-01,2.762795183266989873e-03,3.113287008927061086e-05,2.637196343228770258e-07,1.799296377955730220e-09
3.500000000000000073e-03,1.690493592655544497e-01,2.923857182949753195e-03,3.391109519309329080e-05,2.956716523063399048e-07,2.076830355662325773e-09
3.600000000000000335e-03,1.737096049732256287e-01,3.089260398163623089e-03,3.684687438033065136e-05,3.304139615243259682e-07,2.387405005469861862e-09
3.700000000000000164e-03,1.783607069034893466e-01,3.258987168618982140e-03,3.994422376957657413e-05,3.681004268632773757e-07,2.733852797464980199e-09
3.799999999999999992e-03,1.830026876360611177e-01,3.433019895899378383e-03,4.320713399906722164e-05,4.088886080568456883e-07,3.119159008192669242e-09
3.900000000000000255e-03,1.876355696879921653e-01,3.611341043249810100e-03,4.663957034297112582e-05,4.529397270612515402e-07,3.546465244604285347e-09
4.000000000000000083e-03,1.922593755138561067e-01,3.793933135365737484e-03,5.024547282720332527e-05,5.004186356152664707e-07,4.019072931967410087e-09
4.100000000000000346e-03,1.968741275059350815e-01,3.980778758182816797e-03,5.402875634476535374e-05,5.514937829839380668e-07,4.540446765957649674e-09
4.200000000000000608e-03,2.014798479944052423e-01,4.171860558667354890e-03,5.799331077061297058e-05,6.063371838851823720e-07,5.114218129151392813e-09
4.300000000000000003e-03,2.060765592475217456e-01,4.367161244607484921e-03,6.214300107605343548e-05,6.651243865983723880e-07,5.744188472137447318e-09
4.400000000000000265e-03,2.106642834718031043e-01,4.566663584405052448e-03,6.648166744267421135e-05,7.280344412540538256e-07,6.434332659464389707e-09
4.500000000000000527e-03,2.152430428122150408e-01,4.770350406868220129e-03,7.101312537580487753e-05,7.952498683039257728e-07,7.188802280639380064e-09
4.599999999999999922e-03,2.198128593523536456e-01,4.978204601004779760e-03,7.574116581751411678e-05,8.669566271702234691e-07,8.011928926393114561e-09
4.700000000000000185e-03,2.243737551146280373e-01,5.190209115816174675e-03,8.066955525914360566e-05,9.433440850736489561e-07,8.908227430424519312e-09
4.800000000000000447e-03,2.289257520604425222e-01,5.406346960092226449e-03,8.580203585338051580e-05,1.024604986038994840e-06,9.882399076837722176e-09
4.899999999999999842e-03,2.334688720903779768e-01,5.626601202206567634e-03,9.114232552587058465e-05,1.110935420077613606e-06,1.093933477348276710e-08
5.000000000000000104e-03,2.380031370443728977e-01,5.850954969912772717e-03,9.669411808637342243e-05,1.202534792545885551e-06,1.208411819141048588e-08
5.100000000000000366e-03,2.425285687019037850e-01,6.079391450141187307e-03,1.024610833394619256e-04,1.299605793678844776e-06,1.332202887065089176e-08
5.200000000000000629e-03,2.470451887821649151e-01,6.311893888796459018e-03,1.084468671947674774e-04,1.402354368298124651e-06,1.465854529252340040e-08
5.300000000000000024e-03,2.515530189442475861e-01,6.548445590555753565e-03,1.146550917767728871e-04,1.510989685693387498e-06,1.609934791868613989e-08
5.400000000000000286e-03,2.560520807873188920e-01,6.789029918667670825e-03,1.210893555341546263e-04,1.625724109676410076e-06,1.765032219713059585e-08
5.500000000000000548e-03,2.605423958507998017e-01,7.033630294751843509e-03,1.277532333486762733e-04,1.746773168806994780e-06,1.931756153532675200e-08
5.599999999999999943e-03,2.650239856145427120e-01,7.282230198599227121e-03,1.346502766436349138e-04,1.874355526789885785e-06,2.110737024072292268e-08
5.700000000000000205e-03,2.694968714990086389e-01,7.534813167973069929e-03,1.417840134918621107e-04,2.008692953041866815e-06,2.302626642880339118e-08
5.800000000000000468e-03,2.739610748654434658e-01,7.791362798410568155e-03,1.491579487232813812e-04,2.150010293428229071e-06,2.508098489890598569e-08
5.899999999999999863e-03,2.784166170160540799e-01,8.051862743025198568e-03,1.567755640320237258e-04,2.298535441167790682e-06,2.727847997800067033e-08
6.000000000000000125e-03,2.828635191941836213e-01,8.316296712309732830e-03,1.646403180831030656e-04,2.454499307905663816e-06,2.962592833262927286e-08
6.100000000000000387e-03,2.873018025844864543e-01,8.584648473939917104e-03,1.727556466186533650e-04,2.618135794952959506e-06,3.213073174920539509e-08
6.200000000000000649e-03,2.917314883131021941e-01,8.856901852578834278e-03,1.811249625637288468e-04,2.789681764692632046e-06,3.480051988287260923e-08
6.300000000000000044e-03,2.961525974478297907e-01,9.133040729681933187e-03,1.897516561316694430e-04,2.969377012150659995e-06,3.764315297511803076e-08
6.400000000000000307e-03,3.005651509983004455e-01,9.413049043302720506e-03,1.986390949290328624e-04,3.157464236731771793e-06,4.066672454033729977e-08
6.500000000000000569e-03,3.049691699161504732e-01,9.696910787899129178e-03,2.077906240600950374e-04,3.354189014118923602e-06,4.387956402154613573e-08
6.599999999999999964e-03,3.093646750951932756e-01,9.984610014140535630e-03,2.172095662309207937e-04,3.559799768335739930e-06,4.729023941543255201e-08
6.700000000000000226e-03,3.137516873715910926e-01,1.027613082871545180e-02,2.268992218530061509e-04,3.774547743971134814e-06,5.090755986694285044e-08
6.800000000000000488e-03,3.181302275240258659e-01,1.057145739413986943e-02,2.368628691464942063e-04,3.998686978565328765e-06,5.474057823359357302e-08
6.900000000000000751e-03,3.225003162738699358e-01,1.087057392856626004e-02,2.471037642429661481e-04,4.232474275156485622e-06,5.879859361970058887e-08
7.000000000000000146e-03,3.268619742853559051e-01,1.117346470559322895e-02,2.576251412878090221e-04,4.476169174987198061e-06,6.309115388071554799e-08
7.100000000000000408e-03,3.312152221657462259e-01,1.148011405407582675e-02,2.684302125421618793e-04,4.730033930370041245e-06,6.762805809785893444e-08
7.200000000000000670e-03,3.355600804655019531e-01,1.179050635793650256e-02,2.795221684844422568e-04,4.994333477711438194e-06,7.241935902323805786e-08
7.300000000000000065e-03,3.398965696784513324e-01,1.210462605597670965e-02,2.909041779114541018e-04,5.269335410693065240e-06,7.747536549563726378e-08
7.400000000000000328e-03,3.442247102419576099e-01,1.242245764168915627e-02,3.025793880390794158e-04,5.555309953610038199e-06,8.280664482716684888e-08
7.500000000000000590e-03,3.485445225370863986e-01,1.274398566307069838e-02,3.145509246025545965e-04,5.852529934865122853e-06,8.842402516095602917e-08
7.599999999999999985e-03,3.528560268887724338e-01,1.306919472243587253e-02,3.268218919563336427e-04,6.161270760618213361e-06,9.433859780007458133e-08
7.700000000000000247e-03,3.571592435659860509e-01,1.339806947623106703e-02,3.393953731735395809e-04,6.481810388590331482e-06,1.005617195078666322e-07
7.800000000000000509e-03,3.614541927818988309e-01,1.373059463484932984e-02,3.522744301450056827e-04,6.814429302021393640e-06,1.071050147798792782e-07
7.900000000000000772e-03,3.657408946940490790e-01,1.406675496244581304e-02,3.654621036779083184e-04,7.159410483781003793e-06,1.139803780875677751e-07
8.000000000000000167e-03,3.700193694045063597e-01,1.440653527675384710e-02,3.789614135939927460e-04,7.517039390631532666e-06,1.211999760939580220e-07
8.099999999999999561e-03,3.742896369600359208e-01,1.474992044890164299e-02,3.927753588273936807e-04,7.887603927642745580e-06,1.287762498414462532e-07
8.200000000000000691e-03,3.785517173522623957e-01,1.509689540322962410e-02,4.069069175220521063e-04,8.271394422757237720e-06,1.367219169119148882e-07
8.300000000000000086e-03,3.828056305178330621e-01,1.544744511710838437e-02,4.213590471287299573e-04,8.668703601505953473e-06,1.450499735593426005e-07
8.400000000000001216e-03,3.870513963385805445e-01,1.580155462075727088e-02,4.361346845016241328e-04,9.079826561873058011e-06,1.537736968150856638e-07
8.500000000000000611e-03,3.912890346416850740e-01,1.615920899706357883e-02,4.512367459945816335e-04,9.505060749309440278e-06,1.629066465660068215e-07
8.600000000000000006e-03,3.955185651998361362e-01,1.652039338140237970e-02,4.666681275569172838e-04,9.944705931894112170e-06,1.724626676056271381e-07
8.700000000000001135e-03,3.997400077313937317e-01,1.688509296145695310e-02,4.824317048288354493e-04,1.039906417564280341e-05,1.824558916584751590e-07
8.800000000000000530e-03,4.039533819005491355e-01,1.725329297703984133e-02,4.985303332364575922e-04,1.086843981996302703e-05,1.929007393778068378e-07
8.899999999999999925e-03,4.081587073174851032e-01,1.762497871991451290e-02,5.149668480864566956e-04,1.135313945325489895e-05,2.038119223168690505e-07
9.000000000000001055e-03,4.123560035385354650e-01,1.800013553361764010e-02,5.317440646603012119e-04,1.185347188865701696e-05,2.152044448738785135e-07
9.100000000000000450e-03,4.165452900663445535e-01,1.837874881328197332e-02,5.488647783081082110e-04,1.236974813993667587e-05,2.270936062108867014e-07
9.199999999999999845e-03,4.207265863500257996e-01,1.876080400545984683e-02,5.663317645421095219e-04,1.290228139752372415e-05,2.394950021467010992e-07
9.300000000000000974e-03,4.248999117853199947e-01,1.914628660794725698e-02,5.841477791297302723e-04,1.345138700468736761e-05,2.524245270240318503e-07
9.400000000000000369e-03,4.290652857147529975e-01,1.953518216960856493e-02,6.023155581862829708e-04,1.401738243385521354e-05,2.658983755510319901e-07
9.499999999999999764e-03,4.332227274277930529e-01,1.992747629020179267e-02,6.208378182672774550e-04,1.460058726307386771e-05,2.799330446173987916e-07
9.600000000000000894e-03,4.373722561610075554e-01,2.032315462020451921e-02,6.397172564603492012e-04,1.520132315261038778e-05,2.945453350852025866e-07
9.700000000000000289e-03,4.415138910982192577e-01,2.072220286064036313e-02,6.589565504768065372e-04,1.581991382169391564e-05,3.097523535546092647e-07
9.799999999999999684e-03,4.456476513706620901e-01,2.112460676290607575e-02,6.785583587427992513e-04,1.645668502539679567e-05,3.255715141046606706e-07
9.900000000000000813e-03,4.497735560571365365e-01,2.153035212859920680e-02,6.985253204901092482e-04,1.711196453165448965e-05,3.420205400092772754e-07
1.000000000000000021e-02,4.538916241841643995e-01,2.193942480934637368e-02,7.188600558465648794e-04,1.778608209842363921e-05,3.591174654286462291e-07
1.010000000000000134e-02,4.580018747261431766e-01,2.235181070663211367e-02,7.395651659260812222e-04,1.847936945097756960e-05,3.768806370761571079e-07
1.020000000000000073e-02,4.621043266054998266e-01,2.276749577162832938e-02,7.606432329183265275e-04,1.919216025933856391e-05,3.953287158610468734e-07
1.030000000000000013e-02,4.661989986928443130e-01,2.318646600502429628e-02,7.820968201780174357e-04,1.992479011584626558e-05,4.144806785069145046e-07
1.040000000000000126e-02,4.702859098071224264e-01,2.360870745685727731e-02,8.039284723138432872e-04,2.067759651286152491e-05,4.343558191462654975e-07
1.050000000000000065e-02,4.743650787157682736e-01,2.403420622634370660e-02,8.261407152770224548e-04,2.145091882060500173e-05,4.549737508912447861e-07
1.060000000000000005e-02,4.784365241348561559e-01,2.446294846171094550e-02,8.487360564494905897e-04,2.224509826512991771e-05,4.763544073807168509e-07
1.070000000000000118e-02,4.825002647292521707e-01,2.489492036002962164e-02,8.717169847317234911e-04,2.306047790642824696e-05,4.985180443038496623e-07
1.080000000000000057e-02,4.865563191127652010e-01,2.533010816704653334e-02,8.950859706301948163e-04,2.389740261666973482e-05,5.214852409003594262e-07
1.089999999999999997e-02,4.906047058482973511e-01,2.576849817701814399e-02,9.188454663444714510e-04,2.475621905857304715e-05,5.452769014375723016e-07
1.100000000000000110e-02,4.946454434479942708e-01,2.621007673254462100e-02,9.429979058539470806e-04,2.563727566390844672e-05,5.699142566644567749e-07
1.110000000000000049e-02,4.986785503733945912e-01,2.665483022440446464e-02,9.675457050042150483e-04,2.654092261213131948e-05,5.954188652427823863e-07
1.119999999999999989e-02,5.027040450355791945e-01,2.710274509138968849e-02,9.924912615930829921e-04,2.746751180914591665e-05,6.218126151555565855e-07
1.130000000000000102e-02,5.067219457953198170e-01,2.755380782014156538e-02,1.017836955456230237e-03,2.841739686619866934e-05,6.491177250928939821e-07
1.140000000000000041e-02,5.107322709632273749e-01,2.800800494498694587e-02,1.043585148552508271e-03,2.939093307890045534e-05,6.773567458154675993e-07
1.149999999999999981e-02,5.147350387998995691e-01,2.846532304777512137e-02,1.069738185048887871e-03,3.038847740637715421e-05,7.065525614956955487e-07
1.160000000000000094e-02,5.187302675160685439e-01,2.892574875771525972e-02,1.096298391405052140e-03,3.141038845054787724e-05,7.367283910368109336e-07
1.170000000000000033e-02,5.227179752727474371e-01,2.938926875121438895e-02,1.123268076457638147e-03,3.245702643553023556e-05,7.679077893699662818e-07
1.179999999999999973e-02,5.266981801813769293e-01,2.985586975171592924e-02,1.150649531504127935e-03,3.352875318717204301e-05,8.001146487295197868e-07
1.190000000000000085e-02,5.306709003039711270e-01,3.032553852953879386e-02,1.178445030386391290e-03,3.462593211270878995e-05,8.333731999066522227e-07
1.200000000000000025e-02,5.346361536532631131e-01,3.079826190171702435e-02,1.206656829573879604e-03,3.574892818054628140e-05,8.677080134814606452e-07
1.210000000000000138e-02,5.385939581928499420e-01,3.127402673183998782e-02,1.235287168246474538e-03,3.689810790016785679e-05,9.031440010336760522e-07
